pcs/m,orchards,vineyards,buildings,forest,undefined,public services,streets
0.09,0.14,0.0,0.167,0.556,0.138,0.0006380571219174,0.13513173456805658
0.07,0.14,0.0,0.167,0.556,0.138,0.0006380571219174,0.13513173456805658
0.1,0.14,0.0,0.167,0.556,0.138,0.0006380571219174,0.13513173456805658
0.0,0.129,0.0,0.15,0.581,0.14,0.0005874618924518,0.13807594554467903
4.04,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
2.2899999999999996,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
2.46,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
3.75,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
1.7600000000000002,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
2.7800000000000002,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
2.17,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
0.32,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
0.54,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
0.41,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
0.8,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
3.57,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
1.73,0.0,0.0,0.489,0.38,0.131,0.0380894346870459,0.31394851405420365
0.6,0.0,0.0,0.714,0.141,0.145,0.0480489086745539,0.3965625707743023
0.6900000000000001,0.0,0.0,0.268,0.27,0.462,0.0114777558905676,0.346938775510204
0.68,0.0,0.0,0.602,0.283,0.115,0.040064600963558,0.3448753114069302
0.25,0.0,0.0,0.602,0.283,0.115,0.040064600963558,0.3448753114069302
0.75,0.0,0.0,0.158,0.535,0.307,0.0066461561535084,0.13148292609275522
0.5800000000000001,0.0,0.0,0.158,0.535,0.307,0.0066461561535084,0.13148292609275522
0.39,0.0,0.0,0.996,0.0,0.004,0.0664147396637896,0.27723395153375774
0.25,0.0,0.0,0.996,0.0,0.004,0.0664147396637896,0.27723395153375774
0.38,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.14,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.13,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.28,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.2,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.21,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.1,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.0,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.14,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.03,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.2,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.24,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.05,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.04,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.06,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.1,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.12,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.16,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.12,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.02,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.0,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.01,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.02,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.04,0.0,0.0,0.299,0.212,0.489,0.0025732416971266,0.12471375726616171
0.68,0.0,0.0,0.047,0.27,0.683,0.003400858724245,0.10699816301366416
