code,material,en,source,parent_code,single_use,groupname,fr,de
G941,Plastic,Packaging films nonfood or unknown,Packaging,G124,True,packaging non food,Emballage plastique non alimentaire,Verpackungen ohne Lebensmittel/Tabak
G942,Plastic,"Plastic shavings from lathes, CNC machining",Industry,G124,False,unclassified,Copeaux de plastique provenant de l'usinage,"Kunststoffspäne von Drehbänken, CNC-Bearbeitung"
G943,Plastic,"Fencing agriculture, plastic",Agriculture,G124,False,agriculture,"Clôturer l'agriculture, plastique","Zäune Landwirtschaft, Kunststoff"
G944,Plastic,Pellet mass from injection molding,Industry,G112,True,unclassified,Masse de granulés provenant du moulage par injection,Pelletmasse aus dem Spritzgussverfahren
G900,Rubber,Gloves latex  personal protective equipment,Personal hygiene,G134,True,personal items,Gants latex de protection individuelle,"Handschuhe Latex, persönliche Schutzausrüstung"
G702,Wood,piquet de ballisage,domaine skiable,G173,True,infrastructure,piquet de ballisage,Pistenmarkierungspfosten (Holz)
G916,Wood,Pencils and pieces,Utility items,G170,False,personal items,Crayons et morceaux,Bleistifte und Bruchstücke
G212,Chemicals,Oil nodules or coal fragments -- not from a BBQ,Undefined,G212,False,unclassified,Nodules de petrol,Ölknollen oder Kohlefragmente - nicht von einem BBQ
G213,Chemicals,Paraffin wax,Undefined,G213,False,recreation,Paraffine,Paraffinwachs 
G214,Chemicals,Oil/tar,Construction,G214,False,infrastructure,Goudron,Öl/Teer
G135,Cloth,"Clothes, footware, headware, gloves",Clothing,G135,False,personal items,"Vêtements, chaussures, chapeaux et gants","Kleidung, Fussbekleidung, Kopfbedeckung, Handschuhe"
G136,Cloth,Shoes,Clothing,G136,False,personal items,Chaussures,Schuhe
G137,Cloth,"Clothing, towels & rags",Clothing,G137,False,personal items,Serviettes et chiffons,"Kleidung, Handtücher und Lappen"
G138,Cloth,Shoes and sandals,Clothing,G138,False,personal items,Chaussures et sandales,Schuhe und Sandalen
G139,Cloth,Backpacks,Utility items,G139,False,personal items,Sacs à dos,Rucksäcke
G140,Cloth,"Bags, burlap, hessian, jute or hemp",Packaging,G140,False,agriculture,"Sacs, jute ou chanvre","Sack oder Beutel (Tragetasche), Jute oder Hanf"
G141,Cloth,Carpet,Utility items,G141,False,unclassified,Tapis,Teppiche
G142,Cloth,"Rope , string or nets",Utility items,G142,False,recreation,"Corde, pas de plastique","Seil, Schnur oder Netze"
G143,Cloth,Sails and canvas,Utility items,G143,False,recreation,Voiles et toiles,Segel und Segeltuch
G144,Cloth,Tampons,Personal hygiene,G144,False,waste water,Tampons,Tampons
G145,Cloth,Other textiles,Undefined,G145,False,personal items,Autres textiles,Andere Textilien
G200,Glass,"Glass drink bottles, pieces",Packaging,G200,True,food and drink,verre brisé ," Getränkeflaschen aus Glas, Glasfragmente"
G201,Glass,"Jars, includes pieces",Packaging,G201,False,food and drink,"Pots, verre ou poterie et pièces","Gläser, einschliesslich Stücke"
G202,Glass,Light bulbs,Utility items,G202,False,unclassified,Ampoules électriques,Glühbirnen
G203,Glass,"Tableware ceramic or glass, cups, plates, pieces",Food,G203,False,food and drink,Vaisselle en céramique ou verre,"Geschirr aus Keramik oder Glas, Tassen, Teller, Stücke"
G204,Glass,"Construction material; bricks, pipes, cement",Construction,G204,False,infrastructure,"Matériaux de construction ; briques, tuyaux, ciment","Baumaterial;  Ziegel, Rohre, Zement"
G205,Glass,Fluorescent light tubes,Utility items,G205,False,unclassified,Tubes fluorescents,Leuchtstoffröhren
G206,Glass,Glass buoys,Fishing,G206,False,recreation,Bouées en verre,Glasboje
G207,Glass,Octopus pots,Fishing,G207,False,unclassified,Pots à poulpe,Tonkrüge zum Fangen von Kraken
G208,Glass,Glass or ceramic fragments > 2.5 cm,Undefined,G208,False,unclassified,"Fragments de verre ou de céramique > 2,5 cm",Glas oder Keramikfragmente >2.5 cm
G209,Glass,Large glass objects,Undefined,G209,False,unclassified,Grands objets en verre,Grosse Gegenstände aus Glas
G210,Glass,Other glass/ceramic,Undefined,G210,False,unclassified,Autre verre/céramique,Sonstiges Glas/Keramik Materialien
G174,Metal,Aerosol spray cans,Packaging,G174,False,infrastructure,Bombes aérosols,Aerosolspraydosen
G175,Metal,"Cans, beverage",Packaging,G175,True,food and drink,"Boîtes de conserve, boissons","Getränkedosen (Dosen, Getränke)"
G176,Metal,"Cans, food",Packaging,G176,True,food and drink,Boîtes de conserve,Konservendosen (Lebensmitteldosen)
G177,Metal,"Foil wrappers, aluminum foil",Packaging,G177,False,food and drink,Papier d'emballage d'aluminium,Verpackungen aus Aluminiumfolie
G178,Metal,"Metal bottle caps, lids & pull tabs from cans",Packaging,G178,True,food and drink,"Bouchons de bouteilles en métal, couvercles et tirettes","Kronkorken, Lasche von Dose/Aufreisslaschen von Dosen, Stay-On-Tab-Verschluss , Pull-Tab, (Metallflaschenverschlüsse, Deckel und Aufreisslaschen von Dosen"
G179,Metal,Disposable BBQs,Recreation,G179,False,food and drink,Barbecues jetables,Einweg Grill
G180,Metal,Appliances,Utility items,G180,False,unclassified,Appareils ménagers,Haushaltsgeräte
G181,Metal,"Tableware metal;  cups, cutlery etc.",Food,G181,False,food and drink,"Vaisselle en métal; tasses, couverts","Geschirr aus Metall, Tassen, Besteck usw."
G182,Metal,"Fishing; hooks, weights, lures, sinkers etc.",Fishing,G182,False,recreation,"Hameçons, poids, leurres, plombs","Angeln; Haken, Gewichte, Köder, Senkblei, usw."
G183,Metal,Fish hook remains,Fishing,G183,False,recreation,Restes d'hameçons,Teile von Angelhaken
G184,Metal,Lobster pots,Fishing,G184,False,unclassified,Casiers à homards,Hummerfangkörbe
G185,Metal,Middle size containers,Utility items,G185,False,unclassified,Conteneurs de taille moyenne,Behälter mittlerer Grösse
G186,Metal,Industrial scrap,Undefined,G186,False,infrastructure,Débris industriels,Industrieschrott
G187,Metal,Drums,Packaging,G187,False,infrastructure,Tonneaux,Fässer
G188,Metal,Other cans < 4 L,Packaging,G188,False,infrastructure,Autres bidons < 4 L,Andere Kanister/Behälter < 4 L
G189,Metal,"Gas bottles, drums and buckets > 4 L",Packaging,G189,False,infrastructure,"Bouteilles, fûts et seaux à gaz > 4L","Gasflaschen, Fässer und Eimer > 4 L"
G190,Metal,Paint cans,Packaging,G190,False,infrastructure,Bidons de peinture,"Farbtöpfe, Farbbüchsen,  ( Farbeimer)"
G191,Metal,Wire and mesh,Utility items,G191,False,agriculture,Fils et grillages,Draht und Gitter
G192,Metal,Barrels,Undefined,G192,False,agriculture,Tonneau de pétrole,Fässer
G193,Metal,car parts and batteries,Vehicle,G193,False,unclassified,Pièces automobiles et batteries,Teile von Autos und Autobatterien
