lake,river_name,size,class,attribute,slug,attribute_type
Walensee,Kanal Platz,18,8,Fluss,seez_spennwiesenbrucke,river intersection
Walensee,Kanal Platz,18,8,Fluss,seez,river intersection
Walensee,Tscherlerbach,8,8,Fluss,walensee_walenstadt_wysse,river intersection
Walensee,Tscherlerbach,8,8,Fluss,seemuhlestrasse-strand,river intersection
Walensee,Tscherlerbach,8,8,Fluss,seez_spennwiesenbrucke,river intersection
Walensee,Tscherlerbach,8,8,Fluss,seez,river intersection
Walensee,Helgenbach,10,10,Fluss,walensee_walenstadt_wysse,river intersection
Walensee,Helgenbach,10,10,Fluss,seemuhlestrasse-strand,river intersection
Walensee,Helgenbach,10,10,Fluss,seez,river intersection
Walensee,Tscherlerbach,8,8,Fluss,walensee_walenstadt_wysse,river intersection
Walensee,Tscherlerbach,8,8,Fluss,seemuhlestrasse-strand,river intersection
Walensee,Tscherlerbach,8,8,Fluss,seez_spennwiesenbrucke,river intersection
Walensee,Tscherlerbach,8,8,Fluss,seez,river intersection
Le Léman,L'Aubonne,9,9,Fluss,la-pecherie,river intersection
Le Léman,L'Eau Noire,10,10,Fluss,la-pecherie,river intersection
Le Léman,La Mèbre,8,8,Fluss,tiger-duck-beach,river intersection
Le Léman,La Mèbre,8,8,Fluss,parc-des-pierrettes,river intersection
Le Léman,La Mèbre,8,8,Fluss,plage-de-st-sulpice,river intersection
Le Léman,La Mèbre,8,8,Fluss,vidy-ruines,river intersection
Le Léman,La Mèbre,8,8,Fluss,plage-de-dorigny,river intersection
Le Léman,La Mèbre,8,8,Fluss,vidy,river intersection
Le Léman,La Mèbre,8,8,Fluss,lacleman_vidy_santie,river intersection
Le Léman,Le Venoge,8,7,Fluss,preverenges,river intersection
Le Léman,Le Venoge,8,7,Fluss,preverenges-le-sout,river intersection
Le Léman,Le Venoge,8,7,Fluss,saint-sulpice,river intersection
Le Léman,La Morges,9,9,Fluss,tolochenaz,river intersection
Le Léman,La Morges,9,9,Fluss,la-morges,river intersection
Le Léman,Le Boiron de Nyon,9,9,Fluss,boiron,river intersection
Le Léman,Le Boiron de Nyon,9,9,Fluss,tolochenaz,river intersection
Le Léman,Canal Stockalper,18,8,Fluss,grand-clos,river intersection
Le Léman,Le Rhône,2,4,Fluss,grand-clos,river intersection
Le Léman,Le Flon,10,10,Fluss_U,vidy-ruines,river intersection
Le Léman,Le Flon,10,10,Fluss_U,vidy,river intersection
Le Léman,Le Flon,10,10,Fluss_U,lacleman_vidy_santie,river intersection
Le Léman,La Mèbre,8,8,Fluss,tiger-duck-beach,river intersection
Le Léman,La Mèbre,8,8,Fluss,parc-des-pierrettes,river intersection
Le Léman,La Mèbre,8,8,Fluss,plage-de-st-sulpice,river intersection
Le Léman,La Mèbre,8,8,Fluss,vidy-ruines,river intersection
Le Léman,La Mèbre,8,8,Fluss,plage-de-dorigny,river intersection
Le Léman,La Mèbre,8,8,Fluss,vidy,river intersection
Le Léman,La Mèbre,8,8,Fluss,lacleman_vidy_santie,river intersection
