NAMN,NAMN_2,LAUFNR,BREITE,KLASSE,OBJVAL,slug
Zürichsee,Limmat,"0","4","4",Fluss,zurichsee-feldeggstr-banningersand
Zürichsee,Limmat,"0","4","4",Fluss,sihl_zuerich_scherfs
Zürichsee,Schanzengraben,"0","20","10",Fluss,zurcher-strand
Zürichsee,Schanzengraben,"0","20","10",Fluss,zuerichsee_zurich_kullg
Zürichsee,Schanzengraben,"0","20","10",Fluss,zurichsee-feldeggstr-banningersand
Zürichsee,Schanzengraben,"0","20","10",Fluss,sihl_zuerich_scherfs
Zürichsee,Limmat,"0","4","4",Fluss,zurcher-strand
Zürichsee,Limmat,"0","4","4",Fluss,zuerichsee_zurich_kullg
Zürichsee,Limmat,"0","4","4",Fluss,zurichsee-feldeggstr-banningersand
Zürichsee,Limmat,"0","4","4",Fluss,sihl_zuerich_scherfs
Zürichsee,Schanzengraben,"0","20","10",Fluss,zurcher-strand
Zürichsee,Schanzengraben,"0","20","10",Fluss,zuerichsee_zurich_kullg
Zürichsee,Schanzengraben,"0","20","10",Fluss,zurichsee-feldeggstr-banningersand
Zürichsee,Schanzengraben,"0","20","10",Fluss,sihl_zuerich_scherfs
Zürichsee,Reidbach,"0","10","10",Fluss_U,zuerichsee_richterswil_benkoem_2
Zürichsee,Reidbach,"0","10","10",Fluss_U,zuerichsee_waedenswil_colomboc_1
Zürichsee,Reidbach,"0","10","10",Fluss_U,zuerichsee_richterswil_benkoem_2
Zürichsee,Reidbach,"0","10","10",Fluss_U,zuerichsee_waedenswil_colomboc_1
Zürichsee,Sarenbach,"0","9","9",Fluss,pfafikon-bad
Zürichsee,Staldenbach,"0","9","9",Fluss,pfafikon-bad
Zürichsee,Sarenbach,"0","9","9",Fluss,pfafikon-bad
Zürichsee,Staldenbach,"0","9","9",Fluss,pfafikon-bad
Zürichsee,Alt Linth,"0","17","7",Fluss,schmerikon-bahnhof-strand
Zürichsee,Alt Linth,"0","17","7",Fluss,aabach
Zürichsee,Alt Linth,"0","17","7",Fluss,schmerikon-bahnhof-strand
Zürichsee,Alt Linth,"0","17","7",Fluss,aabach
Zürichsee,Linthkanal,"0","5","5",Fluss,schmerikon-bahnhof-strand
Zürichsee,Linthkanal,"0","5","5",Fluss,aabach
Zürichsee,Steinenbach,"0","17","7",Fluss,schmerikon-bahnhof-strand
Zürichsee,Steinenbach,"0","17","7",Fluss,aabach
Zürichsee,Linthkanal,"0","5","5",Fluss,schmerikon-bahnhof-strand
Zürichsee,Linthkanal,"0","5","5",Fluss,aabach
Zürichsee,Aabach,"0","7","8",Fluss,schmerikon-bahnhof-strand
Zürichsee,Aabach,"0","7","8",Fluss,aabach
Zürichsee,Steinenbach,"0","17","7",Fluss,schmerikon-bahnhof-strand
Zürichsee,Steinenbach,"0","17","7",Fluss,aabach
Zürichsee,Aabach,"0","7","8",Fluss,schmerikon-bahnhof-strand
