slug,NAMN,NAMN_2,BREITE,KLASSE,OBJVAL,distance,distance_1
camping-gwatt-strand,Thunersee,Kander,"5","5",Fluss,"1374",
boiron,Le Léman,Le Boiron de Nyon,"9","9",Fluss,"1316",
rocky-plage,Le Léman,Le Rhône,"1","4",Fluss,"48",
route-13,Lago Maggiore,Riale Brima,"9","9",Fluss_U,"1320",
murg-bad,Walensee,Murgbach,"8","8",Fluss,"1450",
schmerikon-bahnhof-strand,Zürichsee,Alt Linth,"17","7",Fluss,"271",
schmerikon-bahnhof-strand,Zürichsee,Linthkanal,"5","5",Fluss,"848",
schmerikon-bahnhof-strand,Zürichsee,Steinenbach,"17","7",Fluss,"741",
schmerikon-bahnhof-strand,Zürichsee,Aabach,"7","8",Fluss,"671",
aabach,Zürichsee,Alt Linth,"17","7",Fluss,"425",
aabach,Zürichsee,Linthkanal,"5","5",Fluss,"489",
aabach,Zürichsee,Steinenbach,"17","7",Fluss,"290",
aabach,Zürichsee,Aabach,"7","8",Fluss,"234",
nouvelle-plage,Lac de Neuchâtel,Ruisseau de Crêt Moron,"10","10",Fluss,"89",
baye-de-montreux-g,Le Léman,Baye de Montreux,"9","9",Fluss,"1281",
kusnachter-dorfbach-tobelweg-1-4,Zürichsee,Dorfbach,"9","9",Fluss,"41",
hafeli,Brienzersee,Lütschine,"6","6",Fluss,"843",
hafeli,Brienzersee,Aare,"5","4",Fluss,"112",
gals-reserve,Bielersee,Canal de la Thielle,"15","5",Fluss,"1156",
gals-reserve,Bielersee,Ruisseau de Vaux,"9","9",Fluss,"816",
ascona-traghetto-spiaggia,Lago Maggiore,Riale Brima,"9","9",Fluss_U,"1427",
pacha-mama-gerra,Lago Maggiore,N_P,"10","10",Fluss,"308",
pacha-mama-gerra,Lago Maggiore,N_P,"9","9",Fluss,"118",
gerra-gambarogno,Lago Maggiore,N_P,"10","10",Fluss,"1473",
gerra-gambarogno,Lago Maggiore,N_P,"9","9",Fluss,"207",
san-nazzaro-gambarogno,Lago Maggiore,N_P,"10","10",Fluss,"1346",
san-nazzaro-gambarogno,Lago Maggiore,N_P,"9","9",Fluss,"1331",
flibach-river-right-bank,Walensee,Flybach,"9","9",Fluss,"122",
flibach-river-right-bank,Walensee,Linthkanal,"15","5",Fluss,"43",
flibach-river-right-bank,Walensee,Linth,"5","5",Fluss,"512",
linth_route9brucke,Walensee,Flybach,"9","9",Fluss,"1291",
linth_route9brucke,Walensee,Linth,"5","5",Fluss,"1294",
linth_route9brucke,Walensee,Filzbach,"9","9",Fluss,"210",
seez_spennwiesenbrucke,Walensee,Seez,"6","6",Fluss,"1269",
seez_spennwiesenbrucke,Walensee,Kanal Platz,"18","8",Fluss,"1026",
seez_spennwiesenbrucke,Walensee,Tscherlerbach,"8","8",Fluss,"1077",
bain-des-dames,Le Léman,L'Ognona,"10","10",Fluss,"1342",
impromptu_cudrefin,Lac de Neuchâtel,Ruisseau de la Molliette,"9","9",Fluss,"798",
vira-spiaggia-left-of-river,Lago Maggiore,N_P,"9","9",Fluss,"1024",
linth_mollis,Walensee,Flybach,"9","9",Fluss,"116",
linth_mollis,Walensee,Linthkanal,"15","5",Fluss,"872",
seez,Walensee,Helgenbach,"10","10",Fluss,"349",
seez,Walensee,Seez,"6","6",Fluss,"1152",
seez,Walensee,Kanal Platz,"18","8",Fluss,"114",
seez,Walensee,Tscherlerbach,"8","8",Fluss,"160",
tolochenaz,Le Léman,La Morges,"9","9",Fluss,"668",
tolochenaz,Le Léman,Le Boiron de Nyon,"9","9",Fluss,"1039",
arabie,Le Léman,La Veveyse,"8","8",Fluss,"777",
arabie,Le Léman,L'Ognona,"10","10",Fluss,"145",
plage-de-dorigny,Le Léman,La Mèbre,"8","8",Fluss,"1450",
veveyse,Le Léman,La Veveyse,"8","8",Fluss,"275",
veveyse,Le Léman,L'Ognona,"10","10",Fluss,"25",
baye-de-montreux-d,Le Léman,Baye de Montreux,"9","9",Fluss,"1399",
vidy,Le Léman,La Mèbre,"8","8",Fluss,"48",
vidy,Le Léman,Le Flon,"10","10",Fluss_U,"960",
baye-de-clarens,Le Léman,Baye de Clarens,"9","9",Fluss,"364",
pierrier-sud,Le Léman,Baye de Clarens,"9","9",Fluss,"99",
le-port,Le Léman,L'Ognona,"10","10",Fluss,"123",
strandbeiz,Zürichsee,Wagnerbach,"9","9",Fluss,"513",
strandbeiz,Zürichsee,Jona,"7","7",Fluss,"1497",
rolle-plage,Le Léman,Le Flon de Tartegnin,"10","10",Fluss,"31",
saint-sulpice,Le Léman,Le Venoge,"8","7",Fluss,"586",
greifensee_uster_fischerb_-2,,Dorfbach,"10","10",Fluss,"445",
greifensee_uster_fischerb_1,,Dorfbach,"10","10",Fluss,"1158",
sempachersee_sempach_tampec,,Lipperütibach,"9","9",Fluss,"1240",
sempachersee_sempach_tampec,,Gross Aa,"8","8",Fluss,"1269",
sempachersee_sempach_tampec,,Chli Aa,"9","9",Fluss,"465",
zuerichsee_zurich_kullg,Zürichsee,Wildbach,"9","9",Fluss,"115",
zuerichsee_zurich_kullg,Zürichsee,Limmat,"4","4",Fluss,"259",
zuerichsee_zurich_kullg,Zürichsee,Schanzengraben,"20","10",Fluss,"1464",
lacleman_vidy_santie,Le Léman,La Mèbre,"8","8",Fluss,"1480",
lacleman_vidy_santie,Le Léman,Le Flon,"10","10",Fluss_U,"267",
zurichsee-feldeggstr-banningersand,Zürichsee,Wildbach,"9","9",Fluss,"1133",
zurichsee-feldeggstr-banningersand,Zürichsee,Limmat,"4","4",Fluss,"877",
zurichsee-feldeggstr-banningersand,Zürichsee,Schanzengraben,"20","10",Fluss,"816",
bodensee_steinach_dolder_a,,Steinach,"9","9",Fluss,"840",
bodensee_steinach_dolder_a,,Aach (Arbon),"8","8",Fluss,"889",
sihl_zuerich_scherfs,Zürichsee,Limmat,"4","4",Fluss,"66",
sihl_zuerich_scherfs,Zürichsee,Schanzengraben,"20","10",Fluss,"1130",
katzensee_regensdorfzuerichaffoltern_stueberj,,Furtbach,"9","9",Fluss,"1065",
unterdsee_ermatingen_brunkem,,Anderbach,"8","8",Fluss,"329",
neuenburgersee_cudrefin_mattera,Lac de Neuchâtel,Ruisseau de la Molliette,"9","9",Fluss,"16",
greifensee_fallanden_meistery,,Glatt,"7","6",Fluss,"787",
greifensee_maur_simmenc,,Dorfbach,"9","9",Fluss,"1322",
greifensee_maur_simmenc,,Mönchaltorfer Aa,"8","8",Fluss,"1047",
ognonnaz-1,Le Léman,L'Ognona,"10","10",Fluss,"1342",
bodensee_horn_huberm,,Steinach,"9","9",Fluss,"696",
greifensee_fallanden_simmenc,,Glatt,"7","6",Fluss,"918",
la-morges,Le Léman,La Morges,"9","9",Fluss,"1449",
